ENTIDAD;SEMBRADA;COSECHADA;SINIESTRADA;PRODUCCION;RENDIMIENTO;PMR;VALORPRODUCCION;;;;;;;;
Baja California Sur;1,557.00;1,032.00;0.00;6,698.00;6.49;5,428.39;36,359.36;;;;;;;;
Campeche;2,286.20;2,223.50;0.00;31,210.28;14.04;3,756.78;117,250.25;;;;;;;;
Colima;4,167.90;3,841.85;0.00;58,733.39;15.29;3,676.64;215,941.33;;;;;;;;
Chiapas;38,655.56;35,509.16;0.00;279,281.03;7.87;5,198.86;1,451,941.81;;;;;;;;
Durango;399.05;383.05;0.00;1,598.85;4.17;4,576.39;7,316.96;;;;;;;;
Guerrero;26,393.65;24,861.11;0.00;385,125.02;15.49;5,627.08;2,167,128.87;;;;;;;;
Hidalgo;79.00;79.00;0.00;521.34;6.60;4,163.40;2,170.55;;;;;;;;
Jalisco;7,845.84;7,772.84;0.00;114,980.79;14.79;3,186.29;366,362.51;;;;;;;;
México;364.50;361.50;0.00;2,843.84;7.87;6,034.21;17,160.34;;;;;;;;
Michoacán;25,337.03;22,343.34;0.00;160,572.68;7.19;5,860.28;941,001.39;;;;;;;;
Morelos;347.50;346.20;0.00;5,294.69;15.29;3,300.20;17,473.52;;;;;;;;
Nayarit;27,294.77;26,513.65;0.00;322,387.62;12.16;3,558.93;1,147,354.03;;;;;;;;
Oaxaca;19,165.75;18,082.00;0.00;188,674.57;10.43;3,615.68;682,187.43;;;;;;;;
Puebla;54.50;54.50;0.00;542.00;9.94;3,969.93;2,151.70;;;;;;;;
Querétaro;77.00;77.00;0.00;480.70;6.24;5,000.00;2,403.50;;;;;;;;
San Luis Potosí;123.00;123.00;0.00;516.60;4.20;5,567.48;2,876.16;;;;;;;;
Sinaloa;29,506.00;25,837.90;0.00;195,969.11;7.58;4,369.10;856,208.03;;;;;;;;
Sonora;95.28;36.00;0.00;558.60;15.52;3,761.60;2,101.23;;;;;;;;
Tabasco;195.00;185.00;0.00;1,206.86;6.52;2,819.27;3,402.46;;;;;;;;
Tamaulipas;853.26;851.26;0.00;12,654.45;14.87;3,767.91;47,680.84;;;;;;;;
Veracruz;17,691.00;17,630.00;0.00;95,740.57;5.43;3,762.83;360,255.44;;;;;;;;
Yucatán;109.21;108.21;0.00;1,473.65;13.62;3,754.90;5,533.41;;;;;;;;
Zacatecas;33.00;33.00;0.00;233.10;7.06;4,345.04;1,012.83;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;202,631.00;188,285.07;0.00;1,867,297.74;9.92;4,527.01;8,453,273.94
