ENTIDAD,2018,2019,2020
AGUASCALIENTES,18.19166667,18.8,18.1
BAJA CALIFORNIA,20.95833333,19.9,20.2
BAJA CALIFORNIA SUR,24.25,23.7,23.7
CAMPECHE,27.14166667,27.7,27.8
COAHUILA,21.825,22.4,22.3
COLIMA,27.19166667,27.4,27.1
CHIAPAS,25.14166667,25.6,25.5
CHIHUAHUA,19.19166667,18.9,19.2
CIUDAD DE MÉXICO,17.8,18.8,18.3
DURANGO,18.95833333,18.9,18.6
GUANAJUATO,19.08333333,19.8,19.5
GUERRERO,25.19166667,25.5,25.7
HIDALGO,18.66666667,19.8,19.3
JALISCO,21.15833333,21.8,21.7
ESTADO DE MÉXICO,14.95833333,15.6,15.1
MICHOACÁN,20.84166667,21.2,20.8
MORELOS,22.13333333,22.4,22.6
NAYARIT,26.19166667,26.5,26.1
NUEVO LEÓN,22,22.6,22.6
OAXACA,23.90833333,24.2,23.8
PUEBLA,18.15833333,19,19.1
QUERÉTARO,20.01666667,20.9,20.5
QUINTANA ROO,27.54166667,28.1,27.9
SAN LUIS POTOSÍ,23.51666667,24.5,24.4
SINALOA,25.83333333,25.8,26.1
SONORA,22.94166667,22.4,23.4
TABASCO,27.24166667,27.6,27.6
TAMAULIPAS,24.475,25.1,25.2
TLAXCALA,15.56666667,15.8,15.3
VERACRUZ,22.78333333,23.3,23.3
YUCATÁN,26.6,27.3,27.3
ZACATECAS,17.7,18.3,18.3
NACIONAL,22.20833333,22.4,22.4
