Entidad federativa,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aguascalientes,448,456,459,460,464,463,464,461,461,465,466,471,472,473,477,477
Baja California,203,204,202,202,202,201,202,202,201,201,200,200,201,200,199,199
Baja California Sur,176,176,178,178,178,179,178,176,178,179,181,183,184,183,183,184
Campeche,1138,1169,1175,1175,1182,1182,1185,1185,1184,1191,1194,1196,1196,1198,1201,1202
Coahuila,316,327,327,327,332,332,335,333,333,334,336,338,341,341,342,341
Colima,890,883,886,886,889,889,893,900,901,915,928,942,947,957,966,976
Chiapas,1961,1969,1975,1975,1985,1985,1995,2001,1999,2003,2004,2000,1995,1995,1991,1989
Chihuahua,423,423,426,427,429,430,430,428,428,431,432,434,435,436,436,437
Ciudad de México,721,719,721,721,724,723,723,724,722,721,720,717,716,713,714,712
Durango,509,499,500,500,501,502,502,499,498,498,498,499,500,499,499,498
Guanajuato,592,605,608,608,613,613,615,612,612,614,614,617,618,618,621,620
Guerrero,1110,1105,1108,1108,1112,1110,1116,1117,1115,1117,1119,1117,1115,1116,1116,1116
Hidalgo,814,802,801,801,802,802,804,803,800,800,800,798,797,795,792,788
Jalisco,824,821,822,822,823,821,823,819,817,821,823,827,828,830,833,834
México,893,877,874,874,871,869,868,866,862,862,862,862,863,863,866,866
Michoacán,803,807,808,808,808,808,812,810,809,813,814,816,815,815,819,819
Morelos,876,884,884,884,884,887,891,892,892,900,912,917,929,942,955,964
Nayarit,1062,1069,1068,1067,1075,1078,1086,1086,1086,1088,1090,1095,1097,1099,1102,1103
Nuevo León,589,602,602,603,607,605,614,611,610,612,613,614,614,613,613,612
Oaxaca,1519,1519,1515,1515,1513,1509,1515,1513,1511,1508,1503,1497,1490,1489,1486,1481
Puebla,1261,1271,1270,1270,1274,1274,1275,1275,1277,1278,1278,1277,1276,1278,1277,1274
Querétaro,555,558,559,559,561,560,562,560,560,563,566,568,571,571,571,569
Quintana Roo,1249,1263,1261,1261,1258,1256,1259,1262,1263,1272,1273,1276,1274,1276,1276,1273
San Luis Potosí,960,946,942,942,953,953,959,958,958,957,955,953,950,945,941,936
Sinaloa,793,770,770,770,767,766,763,761,760,761,763,767,766,765,768,770
Sonora,428,422,421,421,422,422,422,421,421,421,422,425,425,425,427,430
Tabasco,2413,2406,2410,2413,2415,2405,2407,2409,2404,2410,2409,2410,2401,2396,2390,2384
Tamaulipas,766,767,766,766,773,771,775,772,772,776,779,780,780,778,777,774
Tlaxcala,711,705,708,708,707,706,708,708,710,712,714,715,716,716,715,713
Veracruz,1475,1492,1494,1495,1496,1495,1500,1500,1503,1508,1508,1508,1508,1511,1511,1506
Yucatán,1108,1091,1088,1088,1084,1079,1079,1078,1076,1080,1081,1080,1077,1078,1077,1076
Zacatecas,516,518,517,517,516,516,513,516,512,514,514,517,516,516,517,516
Nacional,772,774,774,775,777,776,779,778,777,779,780,781,780,781,781,780
