"","Ano","Superficie_Sembrada","Superficie_Cosechada","Superficie_Siniestrada","Valor_de_la_Produccion","lluvias","sequiaD0","sequiaD1","sequiaD2","sequiaD3","sequiaD4"
"1",2006,9908,9898,10,1493503.15,421,11.5006150061501,14.5318857034724,12.9257734885041,7.84251111741887,43.5850127732047
"2",2007,12075,11854,221,1789034.2,421,2.6634497114202,6.08737818147412,20.0503831961397,17.58444507522,53.4795155643864
"3",2008,11648,11645,3,2145930.14,422,7.76800075693065,2.16671397483205,12.6017125555871,19.7925536947677,47.4382628441669
"4",2009,10809,10798,11,2977257,422,3.26899422840383,7.82713596366733,26.6238527769893,17.8257167187057,43.001939634781
"5",2010,12212,12212,0,2660464.3,422,7.29491910303719,9.83536758444507,12.0706783990917,9.17778408553316,56.6574415744157
"6",2011,13913,8495,5418,2024042.95,421,8.8135112120352,19.9096414041064,16.4644242596272,7.65209575172675,31.6503453496074
"7",2012,13249.25,13249.25,0,2397360.56,421,4.97800170309395,10.3037184217996,24.5328318667802,17.8008799318762,40.6767433058946
"8",2013,11601,11086,515,2414893.21,421,5.19207115148075,9.92880121108904,26.37666761283,14.8027249503264,41.3083073138424
"9",2014,11720.5,11718.5,2,3515349.14,422,12.7649257261803,12.317863563251,18.3330967925064,7.30201532784559,40.0913047592014
"10",2015,12839.5,12839.5,0,3315051.89,425,0.4,1.00648121865834,8.45515185921089,8.73781814741225,81.3073611505346
"11",2016,13592.2,13542.2,50,2797820.95,425,5.07380073800738,9.23928470053931,22.0550667045132,15.9700539313086,46.8362664395875
"12",2017,12695,12695,0,2763560.65,425,10.3060838300691,12.2977575929605,18.7766108430315,15.0723814930457,39.8772353108146
"13",2018,11535.45,11535.45,0,3436177.76,427,7.71596177500237,7.64145141451415,13.2309111552654,9.92525309868484,50.5475920143817
"14",2019,14193.07,12941.07,1252,3520299.85,430,2.23531081464661,2.72968114296528,12.1321790140978,8.97790708676318,70.4666950515659
